,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Overall_Importance
dow,0.6189094863420025,-0.08582990088847156,0.23835471284281576,-0.27502137097201684,-0.6907492686957004,-4.0763701790565826e-16,1.4387663937706348e-16,-1.3073449848155024e-32,1.908864739741007
airline_avg_delay,0.24463272572313322,0.6554555912316792,0.21270054500611937,0.6795302755644411,-0.05941279469789985,5.586592129233148e-16,-3.794909678547643e-16,4.683058674465116e-33,1.8517319322232728
is_weekend,0.6359194294183299,-0.0052053792540446946,0.17896655678330503,-0.21709956661799285,0.7186223855701231,8.634653752896837e-17,5.975946260567378e-17,7.806667917056883e-33,1.7558133176437956
origin_avg_delay,-0.17071739751984114,0.7472972039192421,-0.07438694081847497,-0.6376194794539959,-0.017619354557393996,-2.0040606508028058e-16,1.893410593557701e-16,-5.634528492306575e-33,1.647640376268948
dep_hour,-0.35152229899889337,-0.06731262198064737,0.9275683606120445,-0.0943982398939825,0.05105872036220402,-0.0,-0.0,-0.0,1.4918602418477716
month,-0.0,2.7755575615628914e-17,-9.71445146547012e-17,-8.326672684688674e-16,-1.1102230246251565e-16,0.9486115541182292,-0.3164429164847868,4.870865040388592e-17,1.0685896612017132e-15
route_avg_delay,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
DISTANCE,-0.0,-0.0,0.0,0.0,-0.0,0.3164429164847867,0.9486115541182292,1.4926275712309698e-16,0.0
