,dep_hour,dow,month,is_weekend,DISTANCE,route_avg_delay,origin_avg_delay,airline_avg_delay
dep_hour,1.0,0.018563822152338278,0.1076713990313714,-0.15404080137314713,,,0.01459850902576383,-0.2609360940210629
dow,0.018563822152338278,1.0,0.33823629838666486,0.06315376234654776,,,-0.005985107591031746,0.10697877395173809
month,0.1076713990313714,0.3382362983866648,1.0,0.6031745839815167,,,0.7432286421130355,-0.4663082036297436
is_weekend,-0.15404080137314713,0.06315376234654778,0.6031745839815167,0.9999999999999999,,,0.04966384411902486,-0.887699522986808
DISTANCE,,,,,,,,
route_avg_delay,,,,,,,,
origin_avg_delay,0.014598509025763831,-0.005985107591031746,0.7432286421130356,0.04966384411902486,,,1.0,0.08412764269576425
airline_avg_delay,-0.2609360940210629,0.10697877395173809,-0.46630820362974357,-0.887699522986808,,,0.08412764269576424,1.0
