ORIGIN,total_delay_rate_origin,carrier_delay_rate_origin,weather_delay_rate_origin,nas_delay_rate_origin,security_delay_rate_origin,late_aircraft_delay_rate_origin,avg_delay_minutes_origin,avg_carrier_delay_origin,avg_weather_delay_origin,avg_nas_delay_origin,avg_security_delay_origin,avg_late_aircraft_delay_origin
ATL,0.23668887226066937,0.07642615440259602,0.009883027442867221,0.07873548250843634,0.00032433341896369257,0.07138351128990235,71.23338068182191,76.77772172081802,93.21079096133687,48.90886159669416,18.539070566655266,76.17288656976525
DEN,0.248462439867474,0.06377064853345302,0.018461783273654463,0.09811209552288394,0.0005897633654589234,0.0675240974315925,67.73333796479112,70.76839539074052,83.1199966787533,50.7612751080669,18.283281647295176,76.82975930646727
IAD,0.20650343310276495,0.06954260570387502,0.00854525112066048,0.05838490907410648,0.0003268036319491904,0.06970212798894848,75.85401709565633,78.16274059813142,81.0915489312085,48.86414399032319,7.2944131703178945,93.97336425217819
LAX,0.17839088527841232,0.06685183917402507,0.006035345453774651,0.04365044887038295,0.0005948777468228723,0.06125632401577055,63.36591399245681,69.5733465381303,67.34325278859995,37.16187142561947,27.38201846869145,72.96821964788738
